Image_Path,Overall_UX
D:/UI UX code/screenshots/img802.jpg,Bad UX
D:/UI UX code/screenshots/img803.jpg,Bad UX
D:/UI UX code/screenshots/img804.jpg,Bad UX
D:/UI UX code/screenshots/img805.jpg,Bad UX
D:/UI UX code/screenshots/img806.jpg,Bad UX
D:/UI UX code/screenshots/img807.jpg,Bad UX
D:/UI UX code/screenshots/img808.jpg,Bad UX
D:/UI UX code/screenshots/img809.jpg,Bad UX
D:/UI UX code/screenshots/img81.jpg,Good UX
D:/UI UX code/screenshots/img810.jpg,Bad UX
D:/UI UX code/screenshots/img811.jpg,Bad UX
D:/UI UX code/screenshots/img812.jpg,Bad UX
D:/UI UX code/screenshots/img813.jpg,Good UX
D:/UI UX code/screenshots/img814.jpg,Bad UX
D:/UI UX code/screenshots/img815.jpg,Bad UX
D:/UI UX code/screenshots/img816.jpg,Bad UX
D:/UI UX code/screenshots/img817.jpg,Bad UX
D:/UI UX code/screenshots/img818.jpg,Bad UX
D:/UI UX code/screenshots/img819.jpg,Good UX
D:/UI UX code/screenshots/img82.jpg,Bad UX
D:/UI UX code/screenshots/img820.jpg,Bad UX
D:/UI UX code/screenshots/img821.jpg,Bad UX
D:/UI UX code/screenshots/img822.jpg,Bad UX
D:/UI UX code/screenshots/img823.jpg,Bad UX
D:/UI UX code/screenshots/img824.jpg,Bad UX
D:/UI UX code/screenshots/img825.jpg,Good UX
D:/UI UX code/screenshots/img826.jpg,Good UX
D:/UI UX code/screenshots/img827.jpg,Bad UX
D:/UI UX code/screenshots/img828.jpg,Bad UX
D:/UI UX code/screenshots/img829.jpg,Good UX
D:/UI UX code/screenshots/img83.jpg,Bad UX
D:/UI UX code/screenshots/img830.jpg,Good UX
D:/UI UX code/screenshots/img831.jpg,Bad UX
D:/UI UX code/screenshots/img832.jpg,Bad UX
D:/UI UX code/screenshots/img833.jpg,Bad UX
D:/UI UX code/screenshots/img834.jpg,Bad UX
D:/UI UX code/screenshots/img835.jpg,Good UX
D:/UI UX code/screenshots/img836.jpg,Bad UX
D:/UI UX code/screenshots/img837.jpg,Good UX
D:/UI UX code/screenshots/img838.jpg,Good UX
D:/UI UX code/screenshots/img839.jpg,Bad UX
D:/UI UX code/screenshots/img84.jpg,Good UX
D:/UI UX code/screenshots/img840.jpg,Bad UX
D:/UI UX code/screenshots/img841.jpg,Good UX
D:/UI UX code/screenshots/img842.jpg,Bad UX
D:/UI UX code/screenshots/img843.jpg,Bad UX
D:/UI UX code/screenshots/img844.jpg,Bad UX
D:/UI UX code/screenshots/img845.jpg,Bad UX
D:/UI UX code/screenshots/img846.jpg,Bad UX
D:/UI UX code/screenshots/img847.jpg,Good UX
D:/UI UX code/screenshots/img848.jpg,Bad UX
D:/UI UX code/screenshots/img849.jpg,Bad UX
D:/UI UX code/screenshots/img85.jpg,Bad UX
D:/UI UX code/screenshots/img850.jpg,Bad UX
D:/UI UX code/screenshots/img851.jpg,Bad UX
D:/UI UX code/screenshots/img852.jpg,Good UX
D:/UI UX code/screenshots/img853.jpg,Bad UX
D:/UI UX code/screenshots/img854.jpg,Bad UX
D:/UI UX code/screenshots/img855.jpg,Bad UX
D:/UI UX code/screenshots/img856.jpg,Good UX
D:/UI UX code/screenshots/img857.jpg,Bad UX
D:/UI UX code/screenshots/img858.jpg,Bad UX
D:/UI UX code/screenshots/img859.jpg,Good UX
D:/UI UX code/screenshots/img86.jpg,Good UX
D:/UI UX code/screenshots/img860.jpg,Good UX
D:/UI UX code/screenshots/img861.jpg,Bad UX
D:/UI UX code/screenshots/img862.jpg,Bad UX
D:/UI UX code/screenshots/img863.jpg,Good UX
D:/UI UX code/screenshots/img864.jpg,Bad UX
D:/UI UX code/screenshots/img865.jpg,Bad UX
D:/UI UX code/screenshots/img866.jpg,Bad UX
D:/UI UX code/screenshots/img867.jpg,Bad UX
D:/UI UX code/screenshots/img868.jpg,Bad UX
D:/UI UX code/screenshots/img869.jpg,Bad UX
D:/UI UX code/screenshots/img87.jpg,Good UX
D:/UI UX code/screenshots/img870.jpg,Bad UX
D:/UI UX code/screenshots/img871.jpg,Bad UX
D:/UI UX code/screenshots/img872.jpg,Bad UX
D:/UI UX code/screenshots/img873.jpg,Bad UX
D:/UI UX code/screenshots/img874.jpg,Bad UX
D:/UI UX code/screenshots/img875.jpg,Bad UX
D:/UI UX code/screenshots/img876.jpg,Bad UX
D:/UI UX code/screenshots/img877.jpg,Bad UX
D:/UI UX code/screenshots/img878.jpg,Bad UX
D:/UI UX code/screenshots/img879.jpg,Bad UX
D:/UI UX code/screenshots/img88.jpg,Good UX
D:/UI UX code/screenshots/img880.jpg,Bad UX
D:/UI UX code/screenshots/img881.jpg,Good UX
D:/UI UX code/screenshots/img882.jpg,Good UX
D:/UI UX code/screenshots/img883.jpg,Bad UX
D:/UI UX code/screenshots/img884.jpg,Bad UX
D:/UI UX code/screenshots/img885.jpg,Bad UX
D:/UI UX code/screenshots/img886.jpg,Bad UX
D:/UI UX code/screenshots/img887.jpg,Bad UX
D:/UI UX code/screenshots/img888.jpg,Bad UX
D:/UI UX code/screenshots/img889.jpg,Bad UX
D:/UI UX code/screenshots/img89.jpg,Bad UX
D:/UI UX code/screenshots/img890.jpg,Bad UX
D:/UI UX code/screenshots/img891.jpg,Bad UX
D:/UI UX code/screenshots/img892.jpg,Bad UX
D:/UI UX code/screenshots/img893.jpg,Good UX
D:/UI UX code/screenshots/img894.jpg,Bad UX
D:/UI UX code/screenshots/img895.jpg,Bad UX
D:/UI UX code/screenshots/img896.jpg,Bad UX
D:/UI UX code/screenshots/img897.jpg,Bad UX
D:/UI UX code/screenshots/img898.jpg,Good UX
D:/UI UX code/screenshots/img899.jpg,Bad UX
D:/UI UX code/screenshots/img9.jpg,Bad UX
D:/UI UX code/screenshots/img90.jpg,Bad UX
D:/UI UX code/screenshots/img900.jpg,Good UX
D:/UI UX code/screenshots/img901.jpg,Bad UX
D:/UI UX code/screenshots/img902.jpg,Good UX
D:/UI UX code/screenshots/img903.jpg,Bad UX
D:/UI UX code/screenshots/img904.jpg,Good UX
D:/UI UX code/screenshots/img905.jpg,Good UX
D:/UI UX code/screenshots/img906.jpg,Good UX
D:/UI UX code/screenshots/img907.jpg,Bad UX
D:/UI UX code/screenshots/img908.jpg,Good UX
D:/UI UX code/screenshots/img909.jpg,Bad UX
D:/UI UX code/screenshots/img91.jpg,Bad UX
D:/UI UX code/screenshots/img910.jpg,Good UX
D:/UI UX code/screenshots/img911.jpg,Bad UX
D:/UI UX code/screenshots/img912.jpg,Good UX
D:/UI UX code/screenshots/img913.jpg,Good UX
D:/UI UX code/screenshots/img914.jpg,Good UX
D:/UI UX code/screenshots/img915.jpg,Good UX
D:/UI UX code/screenshots/img916.jpg,Bad UX
D:/UI UX code/screenshots/img917.jpg,Bad UX
D:/UI UX code/screenshots/img918.jpg,Bad UX
D:/UI UX code/screenshots/img919.jpg,Bad UX
D:/UI UX code/screenshots/img92.jpg,Bad UX
D:/UI UX code/screenshots/img920.jpg,Good UX
D:/UI UX code/screenshots/img921.jpg,Good UX
D:/UI UX code/screenshots/img922.jpg,Good UX
D:/UI UX code/screenshots/img923.jpg,Bad UX
D:/UI UX code/screenshots/img924.jpg,Good UX
D:/UI UX code/screenshots/img925.jpg,Bad UX
D:/UI UX code/screenshots/img926.jpg,Good UX
D:/UI UX code/screenshots/img927.jpg,Bad UX
D:/UI UX code/screenshots/img928.jpg,Bad UX
D:/UI UX code/screenshots/img929.jpg,Good UX
D:/UI UX code/screenshots/img93.jpg,Bad UX
D:/UI UX code/screenshots/img930.jpg,Good UX
D:/UI UX code/screenshots/img931.jpg,Bad UX
D:/UI UX code/screenshots/img932.jpg,Bad UX
D:/UI UX code/screenshots/img933.jpg,Good UX
D:/UI UX code/screenshots/img934.jpg,Bad UX
D:/UI UX code/screenshots/img935.jpg,Good UX
D:/UI UX code/screenshots/img936.jpg,Bad UX
D:/UI UX code/screenshots/img937.jpg,Good UX
D:/UI UX code/screenshots/img938.jpg,Good UX
D:/UI UX code/screenshots/img939.jpg,Bad UX
D:/UI UX code/screenshots/img94.jpg,Good UX
D:/UI UX code/screenshots/img940.jpg,Bad UX
D:/UI UX code/screenshots/img941.jpg,Bad UX
D:/UI UX code/screenshots/img942.jpg,Good UX
D:/UI UX code/screenshots/img943.jpg,Good UX
D:/UI UX code/screenshots/img944.jpg,Good UX
D:/UI UX code/screenshots/img945.jpg,Bad UX
D:/UI UX code/screenshots/img946.jpg,Bad UX
D:/UI UX code/screenshots/img947.jpg,Good UX
D:/UI UX code/screenshots/img948.jpg,Good UX
D:/UI UX code/screenshots/img949.jpg,Good UX
D:/UI UX code/screenshots/img95.jpg,Bad UX
D:/UI UX code/screenshots/img950.jpg,Bad UX
D:/UI UX code/screenshots/img951.jpg,Bad UX
D:/UI UX code/screenshots/img952.jpg,Bad UX
D:/UI UX code/screenshots/img953.jpg,Good UX
D:/UI UX code/screenshots/img954.jpg,Good UX
D:/UI UX code/screenshots/img955.jpg,Good UX
D:/UI UX code/screenshots/img956.jpg,Good UX
D:/UI UX code/screenshots/img957.jpg,Good UX
D:/UI UX code/screenshots/img958.jpg,Good UX
D:/UI UX code/screenshots/img959.jpg,Bad UX
D:/UI UX code/screenshots/img96.jpg,Bad UX
D:/UI UX code/screenshots/img960.jpg,Bad UX
D:/UI UX code/screenshots/img961.jpg,Good UX
D:/UI UX code/screenshots/img962.jpg,Good UX
D:/UI UX code/screenshots/img963.jpg,Good UX
D:/UI UX code/screenshots/img964.jpg,Bad UX
D:/UI UX code/screenshots/img965.jpg,Good UX
D:/UI UX code/screenshots/img966.jpg,Good UX
D:/UI UX code/screenshots/img967.jpg,Bad UX
D:/UI UX code/screenshots/img968.jpg,Bad UX
D:/UI UX code/screenshots/img969.jpg,Bad UX
D:/UI UX code/screenshots/img97.jpg,Good UX
D:/UI UX code/screenshots/img970.jpg,Good UX
D:/UI UX code/screenshots/img971.jpg,Good UX
D:/UI UX code/screenshots/img972.jpg,Bad UX
D:/UI UX code/screenshots/img973.jpg,Bad UX
D:/UI UX code/screenshots/img974.jpg,Good UX
D:/UI UX code/screenshots/img975.jpg,Bad UX
D:/UI UX code/screenshots/img976.jpg,Good UX
D:/UI UX code/screenshots/img977.jpg,Good UX
D:/UI UX code/screenshots/img978.jpg,Good UX
D:/UI UX code/screenshots/img979.jpg,Bad UX
D:/UI UX code/screenshots/img98.jpg,Good UX
D:/UI UX code/screenshots/img980.jpg,Good UX
D:/UI UX code/screenshots/img981.jpg,Good UX
D:/UI UX code/screenshots/img982.jpg,Good UX
D:/UI UX code/screenshots/img983.jpg,Bad UX
D:/UI UX code/screenshots/img984.jpg,Good UX
D:/UI UX code/screenshots/img985.jpg,Bad UX
D:/UI UX code/screenshots/img986.jpg,Good UX
D:/UI UX code/screenshots/img987.jpg,Good UX
D:/UI UX code/screenshots/img988.jpg,Bad UX
D:/UI UX code/screenshots/img989.jpg,Good UX
D:/UI UX code/screenshots/img99.jpg,Good UX
D:/UI UX code/screenshots/img990.jpg,Bad UX
D:/UI UX code/screenshots/img991.jpg,Good UX
D:/UI UX code/screenshots/img992.jpg,Good UX
D:/UI UX code/screenshots/img993.jpg,Good UX
D:/UI UX code/screenshots/img994.jpg,Bad UX
D:/UI UX code/screenshots/img995.jpg,Good UX
D:/UI UX code/screenshots/img996.jpg,Bad UX
D:/UI UX code/screenshots/img997.jpg,Good UX
D:/UI UX code/screenshots/img998.jpg,Good UX
D:/UI UX code/screenshots/img999.jpg,Good UX
